Date,VOO,VT,AAPL,MSFT
26/04/2011,103.085464,41.465225,43.454128,21.110191
27/04/2011,103.754639,41.813053,43.420639,21.263332
28/04/2011,104.089211,41.910122,42.999016,21.529331
29/04/2011,104.390373,42.088085,43.418163,20.892557
02/05/2011,104.15612,41.966751,42.940742,20.682985
03/05/2011,103.821564,41.651283,43.178841,20.803892
04/05/2011,103.118912,41.246807,43.348713,21.005402
05/05/2011,102.215553,40.664394,42.999016,20.787769
06/05/2011,102.700706,40.850452,42.987865,20.852259
09/05/2011,103.118912,41.068848,43.10442,20.820017
10/05/2011,103.97213,41.51376,43.333847,20.691044
11/05/2011,102.867973,40.785736,43.058548,20.441177
12/05/2011,103.420059,40.818085,42.976707,20.408932
13/05/2011,102.51667,40.34082,42.223976,20.17518
16/05/2011,101.880936,40.203312,41.331146,19.804398
17/05/2011,101.864235,40.32465,41.683311,19.893644
18/05/2011,102.817802,40.672478,42.145863,20.031574
19/05/2011,102.951645,40.761463,42.227695,20.05591
20/05/2011,102.265747,40.332741,41.569229,19.86931
23/05/2011,101.044495,39.637054,41.467552,19.609684
24/05/2011,100.960838,39.766495,41.193508,19.593454
25/05/2011,101.295441,39.992989,41.762676,19.625914
26/05/2011,101.696953,40.284199,41.541943,20.015343
27/05/2011,102.148621,40.55114,41.840813,20.088367
31/05/2011,103.169098,41.13356,43.132942,20.291193
01/06/2011,100.877182,40.268021,42.845253,19.820629
02/06/2011,100.760094,40.316563,42.9184,19.650249
03/06/2011,99.78981,40.187134,42.588566,19.398743
06/06/2011,98.73587,39.637054,41.918922,19.47987
07/06/2011,98.602005,39.815029,41.174892,19.520443
08/06/2011,98.200531,39.572361,41.199699,19.423079
09/06/2011,98.953354,39.895916,41.106689,19.439304
10/06/2011,97.564819,39.095093,40.413494,19.236477
13/06/2011,97.631721,39.175976,40.500301,19.504213
14/06/2011,98.886452,39.774586,41.224503,19.650249
15/06/2011,97.163315,38.77961,40.518898,19.260817
16/06/2011,97.347321,38.64209,40.321732,19.471766
17/06/2011,97.615013,38.884777,39.7141,19.682701
20/06/2011,98.167076,38.917141,39.101521,19.853083
21/06/2011,99.505409,39.620899,40.339096,20.088367
22/06/2011,98.919899,39.353962,40.00552,19.999117
23/06/2011,98.58532,39.143635,41.074451,19.982889
24/06/2011,97.50103,38.747253,40.469303,19.715157
27/06/2011,98.32476,39.062729,41.174892,20.445349
